---,Seq,Seq Duration,scene,enemy count,actor,locations,movements,health,move speed multiplier,xy multiplier,velocity,can shoot,fire rate,projectile,score given
0,0,6,game0,3,(0*),"((X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0), (X=15000,Y=-300,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1000*),(False),(1.5*),(0*),(100*)
1,1,6,game0,5,(0*),"((X=15000,Y=600,Z=0.0), (X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0)), (X=15000,Y=-300,Z=0.0), (X=15000,Y=-600,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1000*),(False),(1.5*),(0*),(100*)
2,2,6,game0,5,(0*),"((X=15000,Y=600,Z=0.0), (X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0)), (X=15000,Y=-300,Z=0.0), (X=15000,Y=-600,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1000*),(False),(1.5*),(0*),(100*)
3,3,6,game0,5,(0*),"((X=15000,Y=600,Z=0.0), (X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0)), (X=15000,Y=-300,Z=0.0), (X=15000,Y=-600,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1000*),(False),(1.5*),(0*),(100*)
4,4,6,game0,3,(0*),"((X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0), (X=15000,Y=-300,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1000*),(False),(1.5*),(0*),(100*)
5,5,6,game0,5,(0*),"((X=15000,Y=600,Z=0.0), (X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0)), (X=15000,Y=-300,Z=0.0), (X=15000,Y=-600,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1000*),(False),(1.5*),(0*),(100*)
6,6,6,game0,5,(0*),"((X=15000,Y=600,Z=0.0), (X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0)), (X=15000,Y=-300,Z=0.0), (X=15000,Y=-600,Z=0.0))",(0*),(20*),"(1,0*)","((X=300,Y=100))",(1000*),(False),(1.5*),(0*),(100*)
7,7,2,game1,1,(0*),"((X=15000,Y=0.0,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1300*),(True),(1.5*),(0*),(100*)
8,8,2,game1,1,(0*),"((X=15000,Y=0.0,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1300*),(True),(1.5*),(0*),(100*)
9,9,2,game1,1,(0*),"((X=15000,Y=0.0,Z=0.0))",(0*),(20*),(0*),"((X=0,Y=0))",(1300*),(True),(1.5*),(0*),(100*)
10,10,6,game1,5,(0*),"((X=15000,Y=600,Z=0.0), (X=15000,Y=300,Z=0.0), (X=15000,Y=0.0,Z=0.0)), (X=15000,Y=-300,Z=0.0), (X=15000,Y=-600,Z=0.0))",(0*),"(40,20,20,20,20)",(0*),"((X=0,Y=0))","(2000,1000*)","(False, False, False, True, True)",(1.5*),(0*),"(300, 100, 100, 100, 100)"
